index,trajectory,theta,s,phi_L,phi_R,d_lookup_m,branch_exclusion,physical_dL,physical_dR,physical_d_min,physical_task_error,physical_joint_margin,physical_collision,valid_start
69,traj_0069,-0.6358738112232958,-0.03316130717919272,-0.04500000178813934,0.0,0.005863606514831608,0,0.0058656887437974,0.0364525256529413,0.0058656887437974,1.5594417741376982e-05,0.1528820394499372,0,True
70,traj_0070,-0.6287515439778734,-0.03303842075964317,-0.04500000178813934,0.0,0.005837976702685212,0,0.0058399279982342,0.0364479332461596,0.0058399279982342,4.593072894592572e-06,0.1563580570784712,0,True
71,traj_0071,0.3517588861823753,-0.039906436815342214,0.0,0.04500000178813934,0.0061758225786555055,0,0.0089997131133115,0.0061767603125292,0.0061767603125292,9.631686774127839e-06,0.4462958905923979,0,True
72,traj_0072,-0.8496523297836308,-0.01267478779998138,-0.05000000074505806,0.0,0.0053577812543735,1,0.0053574441627461,0.0370642243142444,0.0053574441627461,1.3445130334283394e-05,0.0365756673842065,0,True
73,traj_0073,-0.6772415440759816,-0.0553129106263658,-0.039999999105930335,0.0,0.006131797785781689,1,0.0061313806116898,0.0365418489284571,0.0061313806116898,1.1421474993966107e-05,0.1468384488300813,0,True
74,traj_0074,-0.13642159653191543,-0.06047998686622463,0.0,0.0,0.00678282841953564,0,0.0070776439958899,0.0371399893185795,0.0070776439958899,1.0376042976483045e-05,0.4405655070226982,0,True
75,traj_0075,-0.6069120983740529,-0.03185651225828731,-0.04500000178813935,0.0,0.0055368073914045845,0,0.0055379431530101,0.0364453975832596,0.0055379431530101,1.2022966384525907e-05,0.166764964935597,0,True
76,traj_0076,0.07056950995251143,-0.1292004636985109,0.0,0.0,0.008422205858658145,0,0.0084219995542218,0.022389650387647,0.0084219995542218,6.070839409207903e-06,0.4499049603514842,0,True
77,traj_0077,-0.2563578660905522,-0.005349426819122427,-0.05999999865889549,0.0,0.005474608226257137,0,0.0054739220083128,0.0364435626016804,0.0054739220083128,1.611389066306727e-05,0.35948660747941,0,True
78,traj_0078,-0.059364679790858466,-0.0020058304060041054,0.0,0.0,0.008834947624248033,0,0.0088340510820246,0.0212651183907293,0.0088340510820246,1.2225862486203302e-05,0.4318126653850537,0,True
79,traj_0079,0.022226294896048215,-0.14511219651159105,0.0,0.0,0.008207284700372769,0,0.0082068133260787,0.0308088498352973,0.0082068133260787,1.117494871740228e-05,0.4652818188073988,0,True
80,traj_0080,0.14979784440745303,-0.10299491569802297,0.0,0.0,0.008174593474192311,0,0.0086307951239609,0.0081728778892415,0.0081728778892415,1.7082977279428915e-05,0.4461641089983503,0,True
81,traj_0081,0.27976450481637083,-0.10629404525039837,0.0,0.004999999888241291,0.005334786617145341,0,0.0086069904342723,0.0053337317535359,0.0053337317535359,4.782142495258572e-06,0.4460876459832241,0,True
82,traj_0082,0.7680929608994049,-0.03104635734158348,0.0,0.03999999910593032,0.005894374914078593,1,0.0089866759434587,0.005893343016349,0.005893343016349,3.310903552049331e-06,0.4461298535498354,0,True
