t,sim_time,theta_ref,s_ref,theta_dot_ref,s_dot_ref,wheel_knot,axis0_raw,axis1_raw,theta_cmd,s_cmd,task_scale,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0.2,17.577,0,-0.08,0,0,10,0,0,0,-0.08,1,0.007094298329,-0.08002250684,-1.116971561,0.03541059886,0.0232182046,0.003653143461,0.002524489395,0.002114979703,0.007996440865,-0.08441191912,0.007996440865,-0.08441191912,0,0.02333815122,0.002386964675,0.008425412441,0.2167601776,0.036238,0.003596124224,0.001288606969,0.0003382138883,0.006062394565,0.005964548656,ok,4,1,1.406474414,1.595119058,-1.411787394,1.568795106,0.07794343022,0.01696011944,0.1386369571,-1.362792213,1.604688928,1.2748057,1.486938963,-0.007682775179,0.06558862589,-0.5672639558,1.405568991,1.592951457,-1.413438379,1.569585204,0.078207284,0.01716689851,0.1383359867,-1.363197161,1.604829648,1.272981462,1.486247301,-0.005999062404,0.06541815971,-0.5690986169
0.21,17.587,0,-0.08,0,0,10,0,0,0,-0.08,1,-0.005368705213,-0.07975871323,-0.3292890833,-0.01787701637,0.02355959402,0.00309734745,0.002393981263,0.001900940237,0.05619340017,-0.07460846752,0.05619340017,-0.07460846752,0,0.02440249502,0.001978220437,0.008421189259,0.2833202871,0.052147,0.002342855564,0.001273809968,0.001561043354,0.006510122513,0.005661964455,ok,4,1,1.405332112,1.591880209,-1.415206433,1.570755516,0.07805653845,0.01752722443,0.139240201,-1.363201044,1.607172504,1.271658401,1.485400989,-0.006335434354,0.06499987827,-0.5680127121,1.405423029,1.592033914,-1.412373231,1.569585204,0.07729515282,0.01708384216,0.1394001111,-1.363098207,1.604512,1.272572638,1.486247301,-0.005657815916,0.0654171613,-0.5694817372
0.22,17.597,0,-0.08,0,0,11,0,0,0,-0.08,1,-0.003657473228,-0.0799768411,0.3157114712,-0.02229162424,0.0245224968,0.002552520145,0.001191911179,0.001011085909,0.2422362715,0.251419574,0.2422362715,0.251419574,0,0.02815604087,0.006323813755,0.008406712144,0.4391031166,0.08367,0.001458026899,0.000201414652,0.0002108124358,0.002477802373,0.002452159296,ok,4,1,1.404853734,1.590979962,-1.41245277,1.569863976,0.07753787589,0.01716531473,0.1387618868,-1.363635693,1.605970027,1.272939517,1.485927492,-0.005697720163,0.06531075555,-0.5696453528,1.404899731,1.588800033,-1.408616427,1.569585204,0.07407817342,0.01679961092,0.1431529179,-1.364130139,1.607896416,1.276916121,1.486247301,-0.009286791317,0.06544846257,-0.5654074216
0.23,17.607,0,-0.08,0,0,11,0,0,0,-0.08,1,0.003127444184,-0.0801798348,-0.367109785,0.02736685418,0.0269836113,0.005046773446,0.001324175804,0.001168301752,0.2347883731,0.2704811692,0.2347883731,0.2704811692,0,0.03050543689,0.009103990984,0.008397952794,0.4754105884,0.057131,0.002587197038,0.0008349625467,0.001206180396,0.00306394588,0.003096658777,ok,4,1,1.405235629,1.59092002,-1.408697123,1.568811335,0.07488610831,0.01664689944,0.1419398917,-1.364049989,1.605309219,1.277071449,1.486762055,-0.008439203537,0.06567840158,-0.5667548982,1.404565996,1.586777318,-1.406264689,1.569585204,0.07206445419,0.01662800069,0.1455018767,-1.364785748,1.610063324,1.279694276,1.486247301,-0.01160869698,0.06547321954,-0.5628005637
0.24,17.617,0,-0.08,0,0,12,0,0,0,-0.08,1,0.00140818461,-0.079998572,-0.6783799151,0.03072466197,0.02944214878,0.007857803509,0.0004323010687,0.0004057432963,-0.1708556116,-0.01640989445,-0.1708556116,-0.01640989445,0,0.02687931461,0.007611655092,0.008411472214,0.3269897203,0.039494,0.001809384282,0.0001920625946,7.645202478e-05,0.0009310700881,0.000652041352,ok,4,1,1.405057587,1.588167672,-1.407695091,1.569500907,0.07269925989,0.01670605697,0.1451463265,-1.364285426,1.60825394,1.278335085,1.486398968,-0.01089647781,0.06550385037,-0.5632489269,1.405081091,1.589899231,-1.409894426,1.569585204,0.0751724837,0.01689286863,0.1418764293,-1.364434893,1.608899795,1.278203181,1.486247301,-0.01036231138,0.06545883589,-0.5641999141
0.25,17.627,0,-0.08,0,0,12,0,0,0,-0.08,1,-0.004894400253,-0.07987278389,0.1318065198,-0.009477339396,0.02790116855,0.008016911243,0.002020887356,0.001590237201,-0.1605323702,0.4399128854,-0.1605323702,0.4399128854,0,0.025493183,0.01461560452,0.008416861547,0.7914769364,0.036181,0.002708253659,0.001494015732,0.001035869033,0.004909315465,0.004625199821,ok,4,1,1.40464534,1.587190978,-1.410909759,1.570449923,0.07455790861,0.0171261961,0.1430403281,-1.364444341,1.610527993,1.277284179,1.485661719,-0.01039941624,0.06519818398,-0.5637019514,1.405273453,1.59109366,-1.411281718,1.569585204,0.07636044495,0.01699873003,0.1404905742,-1.366065386,1.614366387,1.285198948,1.486247301,-0.01621254496,0.0655430257,-0.557631639
0.26,17.637,0,-0.08,0,0,13,0,0,0,-0.08,1,0.000920545309,-0.080149941,-0.1946623066,0.04126009824,0.02619445081,0.01290519439,0.0007149985207,0.0008466001011,-0.1635963172,0.176306352,-0.1635963172,0.176306352,0,0.02374050605,0.01554978967,0.008423815948,0.3139237488,0.073468,0.002295269022,8.791608963e-05,0.001152150779,0.002230955528,0.002439563155,ok,4,1,1.405018956,1.589777805,-1.410378715,1.569093147,0.07593198147,0.0168262195,0.1405560707,-1.366114601,1.612071118,1.284902629,1.486423251,-0.01470824682,0.06562757841,-0.5598946274,1.405513813,1.592604597,-1.41303572,1.569585204,0.07786247024,0.01713550064,0.1387382586,-1.366277908,1.615097205,1.286131367,1.486247301,-0.01699298955,0.06555931025,-0.5567553899
0.27,17.647,0,-0.08,0,0,13,0,0,0,-0.08,1,-0.002266443507,-0.07982182783,-0.1611996029,0.02558036754,0.02432301007,0.01477959912,0.001097293017,0.00106663781,0.09672272205,0.2709614933,0.09672272205,0.2709614933,0,0.0257738509,0.01884402152,0.008415747892,0.5120032249,0.061589,0.00183202836,0.0004119148104,0.0005946720226,0.002673547342,0.003869035414,ok,4,1,1.405397056,1.592627119,-1.412116879,1.569837923,0.07746917308,0.01719768992,0.1392670588,-1.366130456,1.614226622,1.284299339,1.486155414,-0.01663876183,0.06551835892,-0.5566053986,1.405234963,1.590851704,-1.411000837,1.569585204,0.07611991558,0.01697682804,0.1407711842,-1.367027328,1.6176743,1.289419371,1.486247301,-0.0197450837,0.06561673472,-0.553665459
0.28,17.657,0,-0.08,0,0,14,0,0,0,-0.08,1,0.00136655865,-0.07987902103,-0.2368168391,0.006221074382,0.02524753787,0.01784779859,0.0006828854224,0.0006746606486,0.1142268628,0.1082409397,0.1142268628,0.1082409397,0,0.02696094081,0.01947141269,0.008411167884,0.2578899385,0.060256,0.001556150739,0.0008860462768,0.0004111048663,0.001757754501,0.0017684667,ok,4,1,1.405563854,1.592407854,-1.410381566,1.569388074,0.07656920455,0.01696486115,0.1401705015,-1.366504103,1.617371094,1.288088255,1.486442563,-0.01903330371,0.06558537055,-0.5545284276,1.405069496,1.589828955,-1.409812719,1.569585204,0.07510252008,0.01688690629,0.1419580403,-1.367170057,1.618165112,1.290045576,1.486247301,-0.02026922396,0.06562767129,-0.5530769772
0.29,17.667,0,-0.08,0,0,14,0,0,0,-0.08,1,-0.0002537030411,-0.07988675313,-0.2522523223,0.001344346166,0.02647932966,0.0191024235,0.000335930762,0.0004040550386,-0.2101421803,-0.0261607822,-0.2101421803,-0.0261607822,0,0.02332719696,0.01871001177,0.008425455906,0.3347668786,0.034818,0.0009326806519,0.0001864931718,0.0005027993282,0.0007711973278,0.0008627353345,ok,4,1,1.405260707,1.590694994,-1.410150484,1.569734102,0.07549409047,0.01698791948,0.1416727035,-1.366874256,1.618379946,1.289112896,1.486188848,-0.02001248615,0.06552185624,-0.5532532786,1.405570493,1.5929609,-1.413449342,1.569585204,0.07821667168,0.01716775332,0.1383250347,-1.366996842,1.617569464,1.289285615,1.486247301,-0.01963312817,0.06561439869,-0.5537911577
