t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7
7.399999999999999911e-01,2.037163519633589104e-02,-1.455366847503437172e-02,1.613429830105342466e+00,1.649335680256214021e+00,-1.450104717632936913e+00,1.821677849782107339e+00,1.374803025869279494e-01,-2.833544580985136035e-02,8.324457862427128707e-02,-1.543792818457854210e+00,1.548965437842852344e+00,1.212359601295952549e+00,1.756891037711468373e+00,-3.367762942893077344e-02,-2.358192994774653550e-02,-6.194747391981594298e-01
7.600000000000000089e-01,4.091729956809397883e-04,-1.376510244560152224e-02,1.613446411188813823e+00,1.649336143134641386e+00,-1.455752945759006822e+00,1.832288633225236385e+00,1.548745538426303525e-01,-3.943332741145059300e-02,6.849009323362086066e-02,-1.544977041728822664e+00,1.547811557641687763e+00,1.203807039073366170e+00,1.753885987221571297e+00,-1.703475998925946602e-02,-1.261102778236074598e-02,-6.355946022369628468e-01
7.800000000000000266e-01,-2.933487360273295819e-02,-1.347521756029010365e-02,1.610438521134623269e+00,1.649333124173916643e+00,-1.464165660692856141e+00,1.844798073984766251e+00,1.806196093694936167e-01,-5.499617233068183203e-02,4.621113602687659111e-02,-1.546955149710326216e+00,1.554205568456251241e+00,1.199573691058392733e+00,1.746165596864145408e+00,1.435065233882952410e-03,4.945937529067488680e-03,-6.493982461476317525e-01
8.000000000000000444e-01,-6.839333761646654297e-02,-1.365794215614288265e-02,1.604186422676096679e+00,1.649328262690262337e+00,-1.474815988493958452e+00,1.858994627257094301e+00,2.145710510930501080e-01,-7.425885583114569255e-02,1.639054472276123622e-02,-1.546991662459488159e+00,1.561299172141913383e+00,1.192436762451449139e+00,1.733990021920845948e+00,2.725725874980460331e-02,2.875557535839686277e-02,-6.685805637108318544e-01
8.200000000000000622e-01,-1.161287948831563610e-01,-1.428243140120258325e-02,1.594449637617351812e+00,1.649336143134641386e+00,-1.487038929978291124e+00,1.874556228884850739e+00,2.565120502973002314e-01,-9.619805832181237137e-02,-2.092807060616578771e-02,-1.546268716577904989e+00,1.572424428371672844e+00,1.186079294101213710e+00,1.717702140875252415e+00,5.696253335943295137e-02,5.846084606077021212e-02,-6.881128606315994878e-01
8.399999999999999689e-01,-1.717440166934797730e-01,-1.531351747700965965e-02,1.581007255453995564e+00,1.649336143134641386e+00,-1.500021675316569825e+00,1.891054193902495406e+00,3.060774793690633766e-01,-1.195864690003302783e-01,-6.553149419079457028e-02,-1.543559736426153739e+00,1.584777293018720057e+00,1.177669869354786680e+00,1.697729286044678210e+00,9.223613695305735161e-02,9.373444993197908859e-02,-7.103908581314625215e-01
8.599999999999999867e-01,-2.342953111304476588e-01,-1.671221041674229510e-02,1.563714567596874438e+00,1.649336143134641386e+00,-1.512903133161097369e+00,1.907964848901387178e+00,3.627516722133705684e-01,-1.430393058095100201e-01,-1.170386701925020811e-01,-1.538554153864667873e+00,1.597836357668941609e+00,1.166876020670095437e+00,1.674580723440581398e+00,1.326926728597372651e-01,1.341909854920582401e-01,-7.349147997915329578e-01
8.800000000000000044e-01,-3.027085129885115355e-01,-1.843624302964368827e-02,1.542326475578065015e+00,1.644677905665642648e+00,-1.520834580820629389e+00,1.924691301384920061e+00,4.219633703233544031e-01,-1.673118017715905792e-01,-1.698423909376502450e-01,-1.530967236459801928e+00,1.611041641388908596e+00,1.153382790235798483e+00,1.648839431904070008e+00,1.779082554751612033e-01,1.794065677840323003e-01,-7.612065920937045593e-01
9.000000000000000222e-01,-3.757973330078083762e-01,-2.044065280093607107e-02,1.517653801728263030e+00,1.649036080725994946e+00,-1.534591515483356705e+00,1.940596513394326816e+00,4.938601397396632509e-01,-1.845848459082491122e-01,-2.374498813860363711e-01,-1.520546615098169019e+00,1.623787518904826754e+00,1.136873816847885577e+00,1.621147435310701157e+00,2.274409326450891888e-01,2.289392447527344998e-01,-7.888707895763586997e-01
9.200000000000000400e-01,-4.522837334185128011e-01,-2.267839320648551774e-02,1.489403881729015389e+00,1.649318578207272568e+00,-1.542295915832096354e+00,1.955046920596847482e+00,5.663488235581484176e-01,-1.997859870047325459e-01,-3.045703316305553576e-01,-1.507044519086413903e+00,1.635366153527975763e+00,1.116940849228422294e+00,1.592184855091205220e+00,2.808780122549640601e-01,2.823763242966884635e-01,-8.177133144060041436e-01
