t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7
1.900000000000000022e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504074e+00,8.031240630042678630e-01,-1.085923637559074173e-01,-3.854331204106304920e-01,-8.741376355832314315e-01,1.649336143134641386e+00,6.214385351128387525e-01,7.611487470186929505e-01,1.267500584790711482e+00,9.314870750823185386e-01,-7.566843145286678007e-01
1.950000000000000067e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504074e+00,8.031240630042678630e-01,-1.085923637559074173e-01,-3.854331204106304920e-01,-8.741376355832320977e-01,1.649336143134640498e+00,6.214385351128375312e-01,7.611487470186961701e-01,1.267500584790710150e+00,9.314870750823186496e-01,-7.566843145286706873e-01
2.000000000000000111e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504074e+00,8.031240630042678630e-01,-1.085923637559074173e-01,-3.854331204106304920e-01,-8.741376355832312095e-01,1.649336143134641386e+00,6.214385351128375312e-01,7.611487470186928395e-01,1.267500584790712592e+00,9.314870750823187606e-01,-7.566843145286681338e-01
2.050000000000000155e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124875556e-01,1.553452483744551138e+00,-1.444207090212132893e+00,1.420585103067504518e+00,8.031240630042677520e-01,-1.085923637559073895e-01,-3.854331204106304365e-01,-8.741376355832312095e-01,1.649336143134641386e+00,6.214385351128375312e-01,7.611487470186928395e-01,1.267500584790712592e+00,9.314870750823187606e-01,-7.566843145286681338e-01
2.099999999999999922e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124879996e-01,1.553452483744551360e+00,-1.444207090212132671e+00,1.420585103067504740e+00,8.031240630042680850e-01,-1.085923637559080279e-01,-3.854331204106306030e-01,-8.741376355832312095e-01,1.649336143134641386e+00,6.214385351128375312e-01,7.611487470186928395e-01,1.267500584790712592e+00,9.314870750823187606e-01,-7.566843145286681338e-01
2.149999999999999967e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124871115e-01,1.553452483744551360e+00,-1.444207090212132671e+00,1.420585103067503407e+00,8.031240630042677520e-01,-1.085923637559074589e-01,-3.854331204106301589e-01,-8.741376355832312095e-01,1.649336143134641386e+00,6.214385351128375312e-01,7.611487470186928395e-01,1.267500584790712592e+00,9.314870750823187606e-01,-7.566843145286681338e-01
2.200000000000000011e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124874445e-01,1.553452483744551360e+00,-1.444207090212132893e+00,1.420585103067504296e+00,8.031240630042676409e-01,-1.085923637559077365e-01,-3.854331204106302700e-01,-8.741376355832312095e-01,1.649336143134641386e+00,6.214385351128375312e-01,7.611487470186928395e-01,1.267500584790712592e+00,9.314870750823187606e-01,-7.566843145286681338e-01
2.250000000000000056e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124876666e-01,1.553452483744551582e+00,-1.444207090212132893e+00,1.420585103067504518e+00,8.031240630042677520e-01,-1.085923637559075422e-01,-3.854331204106306030e-01,-8.741376355832313205e-01,1.649336143134641386e+00,6.214385351128385304e-01,7.611487470186925064e-01,1.267500584790712148e+00,9.314870750823184276e-01,-7.566843145286674677e-01
2.300000000000000100e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124876666e-01,1.553452483744550694e+00,-1.444207090212132449e+00,1.420585103067504074e+00,8.031240630042673079e-01,-1.085923637559076532e-01,-3.854331204106302700e-01,-8.741376355832307654e-01,1.649336143134641386e+00,6.214385351128379753e-01,7.611487470186912851e-01,1.267500584790713480e+00,9.314870750823186496e-01,-7.566843145286666905e-01
2.350000000000000144e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124872225e-01,1.553452483744550916e+00,-1.444207090212132449e+00,1.420585103067503630e+00,8.031240630042676409e-01,-1.085923637559075283e-01,-3.854331204106302700e-01,-8.741376355832314315e-01,1.649336143134641386e+00,6.214385351128379753e-01,7.611487470186933946e-01,1.267500584790711926e+00,9.314870750823187606e-01,-7.566843145286682448e-01
2.399999999999999911e-01,-8.726599999999999913e-01,-1.600000000000000033e-01,9.948384534124872225e-01,1.553452483744551138e+00,-1.444207090212132671e+00,1.420585103067503185e+00,8.031240630042678630e-01,-1.085923637559074451e-01,-3.854331204106299924e-01,-8.741376355832309875e-01,1.649336143134641386e+00,6.214385351128391966e-01,7.611487470186911741e-01,1.267500584790713258e+00,9.314870750823185386e-01,-7.566843145286652472e-01
2.449999999999999956e-01,-8.726599999999999913e-01,-1.591056279437035870e-01,9.977336897347688360e-01,1.556824470017876383e+00,-1.448851169558597052e+00,1.425412812129388085e+00,8.079517720662936497e-01,-1.073492494319169821e-01,-3.899438552172129757e-01,-8.775163204409600626e-01,1.647434017193840861e+00,6.229707293548123470e-01,7.686303890177310638e-01,1.260018942791754082e+00,9.302221956121127233e-01,-7.629919149899736519e-01
2.500000000000000000e-01,-8.726599999999999913e-01,-1.575125638841203823e-01,1.002841586343778513e+00,1.562893162665780711e+00,-1.457089256819127376e+00,1.433975635606941967e+00,8.165145955438105618e-01,-1.050377010988098048e-01,-3.979717005744140002e-01,-8.835110301318377379e-01,1.644145614802158928e+00,6.257188638458061059e-01,7.817583033332704545e-01,1.246891028476133867e+00,9.279096598426301856e-01,-7.739711472654361435e-01
2.550000000000000044e-01,-8.726599999999999913e-01,-1.558949505766664967e-01,1.007963856574793038e+00,1.569137785339710822e+00,-1.465412111619261992e+00,1.442623561519735365e+00,8.251625214565262434e-01,-1.025623960727765349e-01,-4.061145295692462076e-01,-8.895715562371221408e-01,1.640933406378661807e+00,6.285374771424276918e-01,7.948404571677112340e-01,1.233808874641694864e+00,9.254849278195255158e-01,-7.847937496990130546e-01
2.600000000000000089e-01,-8.726599999999999913e-01,-1.542535421961798159e-01,1.013095221224323828e+00,1.575559844346125615e+00,-1.473816835935978231e+00,1.451351359983316991e+00,8.338903199200605743e-01,-9.991789208047048565e-02,-4.143682608422145641e-01,-8.956986278029758219e-01,1.637800496177901799e+00,6.314302609498568808e-01,8.078730491492366328e-01,1.220776282660168022e+00,9.229472378183249948e-01,-7.954505928204250731e-01
2.650000000000000133e-01,-8.726599999999999913e-01,-1.525891083984929897e-01,1.018230382060484773e+00,1.582160810840123055e+00,-1.482300762983794984e+00,1.460153827757445288e+00,8.426927876941583406e-01,-9.709878007845472447e-02,-4.227287699479251870e-01,-9.018930404266096712e-01,1.634750010136063469e+00,6.344009224710939199e-01,8.208524068318787670e-01,1.207796924977527331e+00,9.202958748095042552e-01,-8.059326468268771526e-01
2.700000000000000178e-01,-8.726599999999999913e-01,-1.509024337738286425e-01,1.023364021590341677e+00,1.588942121543829078e+00,-1.490861465134300179e+00,1.469025792210028936e+00,8.515647521467094583e-01,-9.409968746680630325e-02,-4.311918948846513722e-01,-9.081556470693622485e-01,1.631785098261281819e+00,6.374531719551989051e-01,8.337749778277262491e-01,1.194874353981680848e+00,9.175301756335019210e-01,-8.162309832818233080e-01
2.750000000000000222e-01,-8.726599999999999913e-01,-1.491943172891364855e-01,1.028490802172355112e+00,1.595905179378820371e+00,-1.499496761330783023e+00,1.477962114987663611e+00,8.605010749243636736e-01,-9.091528113550206847e-02,-4.397534416259578083e-01,-9.144873482601011405e-01,1.628908936097357207e+00,6.405907092217444365e-01,8.466373219175529208e-01,1.182012009891852511e+00,9.146495350656350665e-01,-8.263367789069306912e-01
2.800000000000000266e-01,-8.726599999999999913e-01,-1.474655717198027349e-01,1.033605364466787302e+00,1.603051353966587600e+00,-1.508204724036841915e+00,1.486957695405995095e+00,8.694966553427184719e-01,-8.754027037568404279e-02,-4.484091896427117585e-01,-9.208890816109526201e-01,1.626124725236870239e+00,6.438172090628493383e-01,8.594361040311332411e-01,1.169213227778270747e+00,9.116534127744254645e-01,-8.362413214739953249e-01
2.850000000000000311e-01,-8.726599999999999913e-01,-1.457170230711720971e-01,1.038702325218114231e+00,1.610381981951105379e+00,-1.516983685761712275e+00,1.496007473573446322e+00,8.785464335101247357e-01,-8.396940968879909595e-02,-4.571548974049246539e-01,-9.273618105746739282e-01,1.623435692850339063e+00,6.471363054366486844e-01,8.721680880016228210e-01,1.156481243807782944e+00,9.085413411737230938e-01,-8.459360178103202399e-01
2.899999999999999800e-01,-8.726599999999999913e-01,-1.439495099903286279e-01,1.043776274364355938e+00,1.617898367096659351e+00,-1.525832245207178195e+00,1.505106433262117127e+00,8.876453931987549062e-01,-8.019750152834079215e-02,-4.659863078531685798e-01,-9.339065123817577030e-01,1.620845090190070170e+00,6.505515743809960894e-01,8.848301310097999028e-01,1.143819200799608193e+00,9.053129341639700733e-01,-8.554124039339501273e-01
2.949999999999999845e-01,-8.726599999999999913e-01,-1.421638831685914095e-01,1.048821771468839703e+00,1.625601780113588024e+00,-1.534749273083185317e+00,1.514249604539735561e+00,8.967885644763997632e-01,-7.621939901021530794e-02,-4.748991538298464876e-01,-9.405241651058203756e-01,1.618356190020864283e+00,6.540665155938535369e-01,8.974191786439856822e-01,1.131230153165419416e+00,9.019678967508374390e-01,-8.646621573341515266e-01
2.999999999999999889e-01,-8.726599999999999913e-01,-1.403610047351862289e-01,1.053833341470328255e+00,1.633493458165095058e+00,-1.543733917642345022e+00,1.523432066176532818e+00,9.059710261132308817e-01,-7.203000862804226356e-02,-4.838891634617980553e-01,-9.472157338181544928e-01,1.615972282924920123e+00,6.576845326475068143e-01,9.099322605099965378e-01,1.118717071299407007e+00,8.985060355203077220e-01,-8.736771114071609778e-01
3.049999999999999933e-01,-8.726599999999999913e-01,-1.385417476425627459e-01,1.058805469747491346e+00,1.641574604008180227e+00,-1.552785609985405157e+00,1.532648947840793197e+00,9.151879077774904836e-01,-6.762429301047875874e-02,-4.929520654863420170e-01,-9.539821558069238039e-01,1.613696672425355194e+00,6.614089118278220214e-01,9.223664863330726105e-01,1.106282845476332488e+00,8.949272699378360008e-01,-8.824492720475406449e-01
3.099999999999999978e-01,-8.726599999999999913e-01,-1.367069950438319359e-01,1.063518118730771622e+00,1.636895132625653559e+00,-1.546657766506876808e+00,1.541895432096618501e+00,9.104211104015463851e-01,-7.481335641116257373e-02,-4.930165871469881500e-01,-9.608243248533755443e-01,1.611532668871910712e+00,6.652427996172286528e-01,9.347190425003807368e-01,1.093930289309026360e+00,8.912316444256851433e-01,-8.909708363813360066e-01
3.150000000000000022e-01,-8.726599999999999913e-01,-1.348576396628049512e-01,1.068144893234888482e+00,1.629899411878112936e+00,-1.537913659504090313e+00,1.551166756217221554e+00,9.032295700769608082e-01,-8.408468053176415546e-02,-4.914148139718451103e-01,-9.677430745767957587e-01,1.609483582034024529e+00,6.691891788713070222e-01,9.469871889982647284e-01,1.081662142811140370e+00,8.874193411567133927e-01,-8.992342136081002968e-01
3.200000000000000067e-01,-8.726599999999999913e-01,-1.329945831571211767e-01,1.072721139103123500e+00,1.622847889406259458e+00,-1.529234678335821052e+00,1.560458213826628082e+00,8.960780301122355240e-01,-9.337613814117069755e-02,-4.897286376217289683e-01,-9.747391608819453435e-01,1.607552712350692081e+00,6.732508437736725027e-01,9.591682567036151630e-01,1.069481075105789047e+00,8.834906934849831028e-01,-9.072320478952317080e-01
