# L_phi_L=0.2850696258,L_phi_R=0.9614795474
t,theta,s,theta_dot,s_dot,sin_phi_L,cos_phi_L,sin_phi_R,cos_phi_R,phi_dot_L,phi_dot_R,qL1,qL2,qL3,qL4,qL5,qL6,qL7,qR1,qR2,qR3,qR4,qR5,qR6,qR7,qdotL1,qdotL2,qdotL3,qdotL4,qdotL5,qdotL6,qdotL7,qdotR1,qdotR2,qdotR3,qdotR4,qdotR5,qdotR6,qdotR7,dL,dR,d_min,m_phi_minus_L,m_phi_minus_R,m_phi_plus_L,m_phi_plus_R,m_q
0.2,-0.312116628,-0.06223955596,0.3023790349,0.006262485576,-0.05996400648,0.9982005399,0.03998933419,0.9992001067,0,0,1.409631871,1.571215637,-1.464108935,1.754489999,0.3515951976,-0.1566096973,-0.08156714022,-1.40980888,1.649336143,1.203975389,1.472385963,0.2070074628,0.224224741,-0.7097081157,0.09511161444,0.1279393234,-0.07701031532,-0.07010328143,-0.1572319712,0.1537063527,0.1095806646,-0.05560200223,0,0.1305136256,0.112653827,-0.2676341684,-0.2087888936,0.1703828183,0.008353705366,0.03735135644,0.008353705366,0.09,0.14,0.025,0,0
0.21,-0.3090909907,-0.06217694617,0.3027505975,0.006259455263,-0.05996400648,0.9982005399,0.03998933419,0.9992001067,0,0,1.410582987,1.57249503,-1.464879039,1.753788966,0.3500228779,-0.1550726337,-0.08047133357,-1.4103649,1.649336143,1.205280525,1.473512501,0.2043311211,0.2221368521,-0.7080042876,0.09484421549,0.1281389548,-0.07677833898,-0.07047473735,-0.1574071316,0.1540374164,0.1092923029,-0.05531132156,0,0.1303932848,0.1128033943,-0.2679647211,-0.2085621393,0.1709675886,0.008359627917,0.03735218805,0.008359627917,0.085,0.14,0.03,0,0
0.22,-0.3060615732,-0.0621143672,0.3031350042,0.006256320197,-0.05996400648,0.9982005399,0.03998933419,0.9992001067,0,0.5,1.411531429,1.57377642,-1.465646822,1.753084219,0.3484488065,-0.1535322596,-0.07937841054,-1.410918013,1.649336143,1.206584458,1.474640535,0.2016514739,0.2200512307,-0.7062946117,0.09457890588,0.1283432769,-0.07654948969,-0.07085060218,-0.1575892235,0.1543741295,0.1090068591,-0.05501513942,0,0.1302581994,0.1129556909,-0.2682940219,-0.2083375432,0.1715427214,0.008365646815,0.03735319378,0.008365646815,0.085,0.135,0.03,0,0
0.23,-0.3030282493,-0.0620518201,0.3035317922,0.006253084156,-0.05996400648,0.9982005399,0.04498481404,0.9989876708,0,0,1.412477218,1.575059852,-1.466412317,1.752375713,0.3468729143,-0.1519885183,-0.07828834195,-1.411468164,1.649336143,1.20788704,1.475770092,0.1989685337,0.2179678553,-0.7045791845,0.09431552238,0.1285520961,-0.07632360529,-0.0712307435,-0.1577780082,0.1547162468,0.1087240931,-0.05472393584,0,0.1301443043,0.1131106079,-0.2686472349,-0.2081215381,0.1721421411,0.008371762665,0.03735437264,0.008371762665,0.085,0.14,0.03,0,0
0.24,-0.2999908976,-0.06198930584,0.3039405024,0.006249750881,-0.05996400648,0.9982005399,0.04498481404,0.9989876708,0,0,1.413420373,1.576345373,-1.467175553,1.751663405,0.3452951342,-0.1504413558,-0.07720110102,-1.412015404,1.649336143,1.209188483,1.476901198,0.1962820613,0.2158866399,-0.7028577631,0.09405390556,0.12876522,-0.07610052732,-0.07161502826,-0.1579732495,0.155063524,0.1084437695,-0.05443668727,0,0.1300483124,0.1132680365,-0.2690219162,-0.2079130346,0.1727628288,0.008377976083,0.03735572479,0.008377976083,0.085,0.135,0.03,0,0
0.25,-0.2969494011,-0.06192682539,0.3043606794,0.006246324088,-0.05996400648,0.9982005399,0.04498481404,0.9989876708,0,0.5,1.414360912,1.577633025,-1.467936558,1.750947255,0.3437154017,-0.1488907206,-0.07611666332,-1.41255977,1.649336143,1.210488966,1.478033879,0.1935918421,0.2138075095,-0.7011301348,0.09379389975,0.1289824574,-0.07588010089,-0.07200332274,-0.1581747133,0.1554157174,0.1081656574,-0.05413506229,0,0.1299070664,0.1134278681,-0.2693729791,-0.2077002655,0.1733450309,0.008384287685,0.03735725034,0.008384287685,0.08,0.135,0.035,0,0
0.26,-0.2939036473,-0.06186437966,0.3047918718,0.006242807457,-0.05996400648,0.9982005399,0.04997916927,0.9987502604,0,0,1.415298851,1.57892285,-1.468695359,1.750227222,0.3421336546,-0.1473365634,-0.07503500675,-1.413101121,1.649336143,1.211788037,1.479168157,0.1908981124,0.2117305069,-0.6993966845,0.09353535301,0.1292036185,-0.07566217472,-0.07239549266,-0.1583821683,0.1557725844,0.1078895302,-0.05384994971,0,0.129827179,0.1135899944,-0.2697759919,-0.2075021908,0.1739896745,0.00839069809,0.03735894729,0.00839069809,0.08,0.14,0.035,0,0
0.27,-0.2908535284,-0.06180196953,0.3052336319,0.006239204642,-0.05996400648,0.9982005399,0.04997916927,0.9987502604,0,0,1.416234205,1.580214886,-1.469451981,1.749503267,0.3405498329,-0.1457788376,-0.07395611145,-1.413639621,1.649336143,1.213086308,1.480304057,0.1882003524,0.209655485,-0.6976567877,0.09327811707,0.129428515,-0.07544660105,-0.07279140316,-0.1585953853,0.1561338832,0.1076151661,-0.05355422459,0,0.1297150583,0.1137543069,-0.2701641866,-0.2073016312,0.174608157,0.008397207924,0.0373608173,0.008397207924,0.08,0.135,0.035,0,0
0.28,-0.2877989409,-0.06173959584,0.3056855157,0.006235519261,-0.05996400648,0.9982005399,0.04997916927,0.9987502604,0,0.5,1.417166986,1.581509171,-1.470206447,1.748775353,0.3389638791,-0.1442174987,-0.07287995979,-1.414175163,1.649336143,1.214383459,1.4814416,0.1854987106,0.2075824687,-0.6959107061,0.09302204732,0.1296569596,-0.07523323563,-0.07319091882,-0.1588141374,0.156499373,0.1073423474,-0.0532585236,0,0.1296074461,0.1139206978,-0.2705634737,-0.2071049161,0.1752352656,0.008403817811,0.0373628588,0.008403817811,0.08,0.135,0.04,0,0
0.29,-0.2847397858,-0.06167725941,0.3061470831,0.006231754905,-0.05996400648,0.9982005399,0.05497227503,0.9984878812,0,0,1.418097206,1.582805741,-1.470958779,1.748043444,0.3373757377,-0.142652505,-0.07180653631,-1.414707748,1.649336143,1.215679533,1.482580807,0.1827930758,0.2055114195,-0.6941583535,0.09276700281,0.1298887667,-0.07502193765,-0.07359390374,-0.1590382004,0.1568688139,0.107070861,-0.05296237847,0,0.1295027716,0.1140890593,-0.2709725346,-0.2069114491,0.1758695209,0.00841052838,0.0373650715,0.00841052838,0.075,0.135,0.04,0,0
