t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,dmin
0.27,-0.87266,-0.150902434,1.02229899,1.57679606,-1.47554424,1.46902898,0.836949515,-0.104574244,-0.421838977,-0.93029749,1.64933614,0.705419575,0.833774978,1.14335667,0.887619504,-0.795726466,0.0076363582
0.275,-0.87266,-0.149194317,1.02693407,1.57717616,-1.47608023,1.47796529,0.838196855,-0.107132547,-0.425420243,-0.939851754,1.64933614,0.717655611,0.846637322,1.12448497,0.880407712,-0.801977048,0.00764527934
0.28,-0.87266,-0.147465572,1.031604,1.57755664,-1.47660179,1.48696085,0.839451188,-0.109706074,-0.429020638,-0.94927578,1.64933614,0.729196953,0.859436104,1.10644222,0.873365684,-0.808040224,0.00765430339
0.285,-0.87266,-0.145717023,1.03630627,1.57793702,-1.47710822,1.49601062,0.840711789,-0.112293482,-0.432637885,-0.958578209,1.64933614,0.74009486,0.872168088,1.08916547,0.866484068,-0.813928494,0.00766342518
0.29,-0.87266,-0.14394951,1.04103845,1.57831729,-1.47759948,1.50510956,0.841978533,-0.114893013,-0.436270116,-0.967766466,1.64933614,0.750395084,0.884830131,1.07259876,0.8597547,-0.819652769,0.00767264099
0.295,-0.87266,-0.142163883,1.04579811,1.57869698,-1.47807493,1.51425272,0.843250725,-0.117503346,-0.439915108,-0.9768469,1.64933614,0.760138535,0.897419179,1.05669221,0.853170472,-0.825222675,0.00768194553
0.3,-0.87266,-0.140361005,1.05058283,1.57907611,-1.47853461,1.52343516,0.844528259,-0.120122753,-0.443571051,-0.985824988,1.64933614,0.769362071,0.909932261,1.04140105,0.846725121,-0.830646714,0.007691335
0.305,-0.87266,-0.138541748,1.05539022,1.5794542,-1.47897799,1.53265203,0.845810465,-0.122749943,-0.447235778,-0.994705454,1.64933614,0.778099042,0.922366486,1.02668495,0.840413107,-0.835932434,0.00770080402
0.31,-0.87266,-0.136706995,1.06021791,1.5798313,-1.47940515,1.5418985,0.847097251,-0.125383216,-0.450907537,-1.00349238,1.64933614,0.786379741,0.934719043,1.01250745,0.834229503,-0.841086561,0.00771034874
0.315,-0.87266,-0.13485764,1.06506355,1.58020696,-1.47981564,1.55116981,0.848387965,-0.128021318,-0.454584222,-1.01218934,1.64933614,0.794231947,0.946987189,0.998835301,0.828169841,-0.846115046,0.00771996367
0.32,-0.87266,-0.132994583,1.06992483,1.58058121,-1.48020962,1.56046125,0.849682527,-0.13066258,-0.458264141,-1.02079927,1.64933614,0.80168061,0.959168257,0.98563858,0.822230329,-0.851023435,0.00772964494
