t_s,theta_rad,s_m,phi_L,phi_R,d_min_m,max_qdot_rad_s
1.28,0.5160220362694404,-0.1234400201813528,0.09720823335723247,0.09705425396013201,0.008093230077854058,0.11153369618872588
1.29,0.5152097516297556,-0.12361738275340461,0.09720886074093862,0.09695877581286372,0.00809241600017641,0.11063645501756536
1.3,0.5143936522091173,-0.12379270852391137,0.09720699361154396,0.0968660450928019,0.008091621265751291,0.10971708651212886
1.31,0.5135736482655257,-0.12396594957750234,0.0972044386871857,0.0967750703325601,0.008090841074792868,0.10877580406236653
1.32,0.512749650993862,-0.12413705849902959,0.09720208624581568,0.09668554965789557,0.00809007320585038,0.10781283135898878
1.33,0.5119215725685439,-0.12430598839634276,0.09720016771701916,0.09659934304106176,0.008089317286669829,0.10682840239450986
1.34,0.5110893261861806,-0.12447269292306384,0.09719813990937831,0.09651616120861038,0.008088575113918705,0.10582276146513525
1.35,0.5102528261082289,-0.12463712630136188,0.09719580162032793,0.09643466739366889,0.008087847519792983,0.1047961631718497
1.36,0.5094119877036477,-0.1247992433447277,0.09719234354393842,0.09635384241967589,0.008087137034644995,0.1037488724224378
1.37,0.5085667274915546,-0.12495899948074858,0.0971882979812653,0.0962726700786607,0.008086442425991125,0.10268116443368225
1.3800000000000001,0.5077169631838803,-0.12511635077388314,0.09718436844159437,0.09619022678268269,0.008085760778139696,0.10211393579973027
1.3900000000000001,0.5068626137280243,-0.12527125394823596,0.09717290533422779,0.09610466133254707,0.008085114550723874,0.101179205991353
1.4000000000000001,0.5060035993495108,-0.12542366641033234,0.09714937468823331,0.0960154360710749,0.008084514922230895,0.10008189658399225
1.41,0.5051398415946432,-0.125573546271893,0.09711128048897076,0.09592287346405104,0.008083960327166274,0.0991306798343139
1.42,0.5042712633731605,-0.12572085237260885,0.09705389194139566,0.09582708778475538,0.008083474974317065,0.09795599793060994
1.43,0.5033977890008922,-0.12586554430291583,0.09697949166824396,0.09572830493944824,0.00808305266324101,0.09837954483591371
1.44,0.5025193442424133,-0.12600758242676938,0.0968905204203474,0.0956262114100264,0.008082686761546474,0.09907016557481052
1.45,0.501635856353701,-0.12614692790441942,0.09679024932622264,0.09552058111560657,0.008082368329748187,0.09978752414878667
1.46,0.5007472541247886,-0.126283542715185,0.09668046398968722,0.09540956824935168,0.008082092582348028,0.1006841640076972
1.47,0.4998534679224219,-0.12641738968022898,0.096562990066086,0.0952933133059287,0.00808185462674534,0.10157262420744662
1.48,0.4989544297327146,-0.12654843248533282,0.0964395517198863,0.09517242856240958,0.008081649857116003,0.10240834509890329
1.49,0.498050073203803,-0.12667663570367135,0.0963111861696961,0.09504787920891435,0.008081475583915696,0.10315800933253239
1.5,0.4971403336885022,-0.1268019648185874,0.09617964928453142,0.09492085859096737,0.008081327116164747,0.1038000810018036
1.51,0.4962251482869612,-0.12692438624636662,0.09604608663306856,0.09479209566871763,0.008081201463397462,0.10437825164932857
1.52,0.49530445588931815,-0.12704386735901219,0.09591136579816514,0.0946619364610979,0.00808109640757799,0.10492849435088658
1.53,0.494378197218356,-0.12716037650701956,0.0957763940928998,0.09453051778870762,0.008081009617572105,0.1054703872854501
1.54,0.49344631487215806,-0.12727388304215115,0.09564124976233863,0.09439726653891743,0.008080941065088998,0.10607060286770276
1.55,0.4925087533667629,-0.12738435734021109,0.09550596883469545,0.09426203186540992,0.008080890833377197,0.10668922354592492
1.56,0.4915654591788202,-0.12749177082382002,0.0953704218654456,0.09412501661024184,0.00808085945951042,0.10729282093080439
1.57,0.4906163807882462,-0.12759609598518976,0.0952348145744326,0.0939866684229219,0.008080845453982376,0.10780735262423402
1.58,0.4896614687208788,-0.12769730640889804,0.09509253470176184,0.0938465871513927,0.008080868384462599,0.10841149272933781
