t,sim_time,theta_ref,s_ref,theta_meas,s_meas,theta_dot,s_dot,phi_L,phi_R,phase_rms_L,phase_rms_R,action_L,action_R,executed_action_L,executed_action_R,intervened,candidate_phi_L,candidate_phi_R,lut_clearance,max_joint_speed,compute_ms,joint_tracking_max,grasp_position_L,grasp_position_R,grasp_rotation_L,grasp_rotation_R,status,stage,has_command,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,q_meas_8,q_meas_9,q_meas_10,q_meas_11,q_meas_12,q_meas_13,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_cmd_8,q_cmd_9,q_cmd_10,q_cmd_11,q_cmd_12,q_cmd_13
0.2,27.094,0.002506595274,-0.07962102064,0.001641466308,-0.07975237561,0.003064643719,0.001849436283,0.0113915371,0.001874986493,7.373953495e-06,1.167256166e-05,0.5240231156,-0.0955998227,0.2620115578,-0.04779991135,1,0.01925188384,0.000440989152,0.008466756068,0.4150030809,0.19824,0.004391475332,8.11827143e-06,1.287723108e-05,1.494819952e-05,4.522548608e-05,ok,4,1,1.408131,1.603894544,-1.425569435,1.570019627,0.0876897099,0.01880106204,0.1267805449,-1.363665747,1.603666578,1.272099156,1.487852122,-0.006499203854,0.06414431353,-0.5693571865,1.408209105,1.600877925,-1.421750645,1.570302094,0.08386844429,0.01885258621,0.1309305757,-1.363855237,1.602670573,1.27117399,1.48879791,-0.006439091604,0.06338707758,-0.5699165819
0.21,27.104,0.002631217784,-0.07960232726,0.001574454808,-0.07973223549,0.00467357562,0.001484109982,0.01186647192,0.001799838739,7.841320326e-05,6.938353907e-05,0.4539633095,-0.05630319938,0.2269816548,-0.02815159969,1,0.01867592156,0.0009552907481,0.00846735965,0.3606749724,0.169382,0.003628325222,4.558397177e-05,3.655573047e-05,0.0002154333723,0.0002136753595,ok,4,1,1.408127456,1.603490585,-1.425181666,1.570092412,0.08722540875,0.01882085379,0.1273022505,-1.363696305,1.603596051,1.271956635,1.487927665,-0.006485794763,0.06403720293,-0.5694084909,1.40828955,1.60096929,-1.421814814,1.570335413,0.08385435703,0.01890581051,0.1309090002,-1.363953378,1.602784587,1.271366349,1.488917975,-0.006691925839,0.06329214241,-0.56969448
0.22,27.114,0.002755736416,-0.07958364947,0.001690038721,-0.07971950457,0.008667099306,0.001442962917,0.01227801703,0.001753331003,7.331324614e-05,6.199509596e-05,0.3072659373,-0.03827790916,0.3072659373,-0.03827790916,0,0.01688700609,0.001179162365,0.008460835644,0.4828738734,0.163013,0.003185191627,4.88505441e-05,5.622034962e-06,0.0001987259624,0.0001733039446,ok,4,1,1.408134026,1.603161506,-1.424785661,1.570125676,0.08681663072,0.01883002625,0.1277238086,-1.363747712,1.603500935,1.271930404,1.488031316,-0.006493373556,0.06394898986,-0.5694704475,1.408150812,1.599622977,-1.420214067,1.570368703,0.08241659226,0.0188223339,0.1325525473,-1.363949878,1.602573197,1.271140675,1.489037933,-0.006595292935,0.0631956649,-0.5698649375
0.23,27.124,0.002880146253,-0.07956498799,0.001991050366,-0.07969986365,0.01290959745,0.001620850974,0.01281607953,0.001681373043,2.893019502e-05,7.328627037e-06,0.6434392929,0.2499248236,0.3217196465,0.1249624118,1,0.02246766892,0.005430245398,0.00845798839,0.510443014,0.127949,0.004321262097,3.874963686e-05,2.199673814e-06,0.0001186720119,9.067939036e-06,ok,4,1,1.408147157,1.602790611,-1.424126973,1.570126108,0.08632193672,0.01881850765,0.1282312852,-1.363757991,1.603371992,1.271844525,1.488176388,-0.006518374381,0.06387164395,-0.5695152677,1.408125256,1.599019436,-1.419473625,1.570401963,0.08171470064,0.01880955782,0.1333357153,-1.364567454,1.604369034,1.273489838,1.489157781,-0.008651652763,0.06311476845,-0.567616351
0.24,27.134,0.003004442385,-0.07954634357,0.002508324401,-0.07969757957,-0.00458491942,0.001992126949,0.01336877825,0.001878384179,0.0001599986886,0.000151121694,0.7257283926,0.2730525434,0.3628641963,0.1365262717,1,0.02425470414,0.00597417233,0.008453360291,0.56855917,0.227741,0.004487769065,4.039276803e-05,9.843695662e-05,0.0004211138823,0.0004892610793,ok,4,1,1.4081726,1.60240088,-1.423582255,1.570072808,0.08575676888,0.01878399922,0.1288479463,-1.363853111,1.603399892,1.27216139,1.488346636,-0.006745607265,0.06381195883,-0.5693702087,1.408045092,1.598057836,-1.418318643,1.570435193,0.08065851135,0.01876283925,0.134533538,-1.364700271,1.604601665,1.273832904,1.489277514,-0.009030694931,0.06302299344,-0.5672521711
0.25,27.144,0.003128619903,-0.07952771694,0.002599038138,-0.07967346709,-0.01509712163,0.002596354715,0.01400435536,0.002108090612,0.0001366512431,0.0001196577208,0.7153846025,0.1683044434,0.3576923013,0.08415222168,1,0.0247351244,0.004632657262,0.008451347818,0.5592379414,0.171701,0.005006015043,3.514181878e-05,6.044663485e-05,0.0003711238458,0.0003677735755,ok,4,1,1.408169765,1.601907099,-1.422974041,1.570100768,0.08515443274,0.0187824221,0.1295275229,-1.36393182,1.603505701,1.272303525,1.488482746,-0.007029808621,0.06372645741,-0.5690789502,1.408045324,1.597624085,-1.417775003,1.570468389,0.08012520472,0.01876628175,0.1351199023,-1.364612796,1.604110986,1.273250197,1.489397126,-0.008634885837,0.06292229527,-0.5677585464
0.26,27.154,0.003252673906,-0.07950910884,0.002453037239,-0.07964423736,-0.01131543874,0.002147961515,0.01464246372,0.002264491025,2.583167438e-05,2.87126524e-05,0.6540303826,0.110234946,0.3270151913,0.05511747301,1,0.02445291946,0.003918015215,0.008450961455,0.5112639634,0.195501,0.004906066306,8.786039325e-06,3.049438162e-05,7.012255475e-05,0.0001102464136,ok,4,1,1.408148449,1.601384745,-1.422403667,1.570193206,0.08456039824,0.01880197649,0.130213836,-1.363998462,1.603638942,1.27230968,1.488555642,-0.007230150303,0.06360746636,-0.5688644658,1.408095452,1.597518163,-1.417611035,1.570501552,0.07991662477,0.01880081892,0.1353264757,-1.36459105,1.60383645,1.272944135,1.489516614,-0.008470463643,0.062824347,-0.5680048849
0.27,27.164,0.003376599497,-0.07949052,0.002374396638,-0.07962425539,-0.003977582471,0.001512913384,0.01523119361,0.00237610566,5.453795973e-05,4.757202134e-05,0.7267341614,0.2434942275,0.3633670807,0.1217471138,1,0.02613220603,0.006028519073,0.008446527187,0.5650770452,0.153393,0.004488890833,2.899822331e-05,4.383092562e-05,0.0001561206392,0.0001596535185,ok,4,1,1.408127333,1.600890349,-1.421879535,1.570272221,0.08400669769,0.018816252,0.1308375848,-1.364084563,1.60371574,1.272369702,1.48862455,-0.007370921244,0.06349337556,-0.5687608557,1.408018748,1.596587644,-1.416492028,1.57053468,0.07889170215,0.01875830932,0.1364883553,-1.364899913,1.604647726,1.274027429,1.489635973,-0.00946881464,0.06274024899,-0.5669445695
0.28,27.174,0.003500391782,-0.07947195116,0.00268412459,-0.079615253,-0.001477862357,0.001610158575,0.01587235616,0.002587103999,3.647024032e-05,3.683373346e-05,0.5294098854,0.02119033411,0.2647049427,0.01059516706,1,0.02381350444,0.002904959011,0.008450445302,0.4206936864,0.182253,0.005016363567,8.961187871e-06,2.854332399e-05,9.091271348e-05,0.000113941002,ok,4,1,1.408116997,1.600392879,-1.421189753,1.570269587,0.08340582664,0.01879466823,0.1314719917,-1.364196729,1.603784499,1.272655119,1.488759175,-0.007606801844,0.06341701165,-0.5686001533,1.40820346,1.597358499,-1.417343666,1.570567771,0.07955153253,0.01887475397,0.1356789286,-1.364598012,1.603453831,1.272544999,1.489755197,-0.008319506643,0.06263077157,-0.5682974982
0.29,27.184,0.003624045875,-0.07945340305,0.002365949985,-0.07958724273,0.004762972826,0.001852749724,0.01635678681,0.002619261465,0.0001489959728,0.0001280971821,0.4277965724,-0.1131994948,0.4277965724,-0.1131994948,0,0.0227737354,0.0009212690437,0.008438826592,0.660924425,0.152096,0.003651925725,5.625730342e-05,4.527051098e-05,0.0004197373483,0.000411488642,ok,4,1,1.408106044,1.599991297,-1.420830965,1.570364917,0.08293555222,0.018826237,0.1320270029,-1.364251334,1.603783763,1.272543318,1.488840987,-0.007700070988,0.06330519729,-0.5684971983,1.407879474,1.594880196,-1.414429651,1.570600825,0.07699260546,0.01869676671,0.1386362471,-1.364198862,1.601975404,1.270692955,1.489874282,-0.006862160299,0.06252718812,-0.5699965785
0.3,27.194,0.003747556894,-0.07943487639,0.00263861951,-0.07955646549,0.02267786962,0.000955778361,0.01710770211,0.002432288949,8.629787723e-05,0.0001054407012,0.4440490901,-0.1293541342,0.4440490901,-0.1293541342,0,0.02376843846,0.0004919769357,0.008435175657,0.6959952043,0.162087,0.005937351481,7.304420742e-05,0.0001102131597,0.0002175944402,0.0003370381165,ok,4,1,1.408092014,1.599425196,-1.419888033,1.570407855,0.08230198906,0.01881522282,0.1326988956,-1.364210067,1.603642332,1.272255839,1.4889565,-0.007643511395,0.06319915173,-0.5686311572,1.407816766,1.594070626,-1.41344984,1.57063384,0.07608726088,0.0186700019,0.1396588477,-1.364138659,1.601584416,1.270236603,1.489993224,-0.006571718205,0.06243033354,-0.5703843363
0.31,27.204,0.003870919963,-0.07941637193,0.00289285444,-0.07954650672,0.01415705414,0.0004403878989,0.01788035781,0.002209276284,4.6475354e-05,5.053449197e-05,0.2378171235,-0.1227712631,0.2378171235,-0.1227712631,0,0.02144761467,0.0003677073376,0.008444919194,0.3823571164,0.158331,0.006114065957,6.427950011e-05,5.769190846e-05,0.0001253498166,0.0001221650493,ok,4,1,1.408079289,1.598835942,-1.419143183,1.570410122,0.08157586712,0.01878404056,0.1335447817,-1.364205385,1.603398129,1.272085961,1.489080205,-0.007521769782,0.06310234273,-0.5688834135,1.408207087,1.59611743,-1.415782003,1.570666814,0.07801271403,0.01889586863,0.1373683529,-1.364152637,1.601431142,1.270085369,1.490112018,-0.006536275469,0.06233492337,-0.5704854656
0.32,27.214,0.003994130213,-0.0793978904,0.002672934986,-0.07954128634,0.005098168497,0.00110305861,0.01832191332,0.001998278357,0.0001834708485,0.0001424574669,0.1340481192,-0.01689777151,0.1340481192,-0.01689777151,0,0.02033263511,0.001744811785,0.008449832621,0.2182999328,0.204667,0.003234164549,0.0001292601094,2.664499314e-06,0.0005524185328,0.0004179618665,ok,4,1,1.408063057,1.598388889,-1.419009761,1.570476042,0.0810914213,0.01880582542,0.1341341883,-1.364255218,1.603137899,1.271904223,1.489163605,-0.00736946208,0.06300332659,-0.5691021432,1.408431743,1.597125419,-1.416909405,1.570699746,0.07890842197,0.01903035944,0.1362828196,-1.364532215,1.602448046,1.271435842,1.490230659,-0.007756587057,0.06224652782,-0.5691752409
