t,theta,s,L1,L2,L3,L4,L5,L6,L7,R1,R2,R3,R4,R5,R6,R7,position_error_m,clearance_L_m,clearance_R_m,collision,rotation_L_rad,rotation_R_rad,margin_L_rad,margin_R_rad
17.015,0.53665678069,-0.0828173057378,1.39267952595,1.64933614313,-1.24922064682,1.33710096097,-0.357534664779,0.382714199478,0.381880467968,-1.31622381165,1.54166219378,1.34521039835,1.6242639191,-0.436826415789,-0.158538177705,-0.237872443478,2.23772604566e-16,0.00872981607703,0.0050002,0,2.60739960568e-16,5.05159101305e-16,0,0.0494056833285
17.02,0.545732721742,-0.0814845233477,1.39576600118,1.64933614313,-1.24412479359,1.33935704292,-0.364390153404,0.388255689016,0.386698523679,-1.31897869118,1.54163412614,1.34692169719,1.63245621931,-0.446525255804,-0.162562516328,-0.229351164307,1.30922788334e-16,0.00873634688729,0.0050002,0,2.17221738409e-16,1.27192026216e-16,0,0.0493776156864
17.025,0.554440441928,-0.0801429781273,1.39890048569,1.64933614313,-1.23921483199,1.34179071956,-0.370846678666,0.393541311649,0.39133961997,-1.32176349705,1.54160896111,1.34852580956,1.64056149634,-0.455875890791,-0.16643174915,-0.221087140618,2.95045815911e-16,0.00874298389786,0.0050002,0,4.75098925996e-16,4.26615025221e-16,2.22044604925e-16,0.0493524506555
17.03,0.562772000082,-0.0787935750186,1.40208508406,1.64933614313,-1.23449865106,1.34439999198,-0.376899324723,0.39856128815,0.395802086773,-1.32461607635,1.54174629805,1.35020259643,1.6485752612,-0.465048637171,-0.17006629101,-0.21292126488,1.76089386689e-16,0.00874973171664,0.00505354907576,0,2.49800180541e-16,1.88247472697e-16,0,0.0494897875992
17.035,0.570719955067,-0.0774372218907,1.40532175184,1.64933614313,-1.22998363323,1.34718262202,-0.382543954777,0.403306367609,0.400084294581,-1.32743126488,1.54156887261,1.35142691548,1.65649317219,-0.473502972152,-0.173722651886,-0.205373697064,2.54762318889e-16,0.00875659464499,0.00500072039996,0,3.56796817985e-16,1.50111226593e-16,0,0.0493123621575
17.04,0.578277374908,-0.0760748288647,1.40861227418,1.64933614313,-1.22567663624,1.35013614507,-0.387777217054,0.407767853888,0.404184644431,-1.33031733402,1.54155079881,1.35272684179,1.66431102811,-0.481761529715,-0.177155435523,-0.197948771604,2.25914017994e-16,0.00876357663096,0.0050002,0,3.73670872518e-16,4.38854183572e-16,0,0.0492942883543
17.045,0.585437845279,-0.0747073076385,1.41195824544,1.64933614313,-1.22158397756,1.35325788326,-0.392596547513,0.411937630171,0.408101559723,-1.3332412514,1.5415371093,1.35393396405,1.67202476162,-0.489644762861,-0.180451085821,-0.190821782481,3.41348446072e-16,0.0087706812245,0.0050002,0,2.2761264355e-16,2.24202523511e-16,0,0.0492805988401
17.05,0.592195477312,-0.0733355708106,1.4153610499,1.64933614313,-1.21771142163,1.35654495902,-0.397000169195,0.415808181542,0.411833479972,-1.33620429545,1.5415262079,1.35504966077,1.67963043277,-0.497144978615,-0.18361512758,-0.184003833376,2.57394619382e-16,0.00877791153476,0.0050002,0,3.31036876852e-16,4.15407418106e-16,0,0.0492696974492
17.055,0.598544914738,-0.0719605312035,1.41882184372,1.64933614313,-1.21406416967,1.35999430873,-0.400987088144,0.419372615519,0.415378856589,-1.33920795843,1.54151804838,1.35607695714,1.68712422284,-0.504256722238,-0.186652169239,-0.177503887159,1.04775000277e-16,0.00878527018981,0.0050002,0,4.09100613746e-16,4.01257701921e-16,0,0.0492615379249
17.06,0.604481340334,-0.0705831011888,1.42234153823,1.64933614313,-1.21064685216,1.36360269639,-0.404557085914,0.422624680481,0.418736150727,-1.34225358741,1.54151257972,1.35701880029,1.69450242848,-0.510975051843,-0.189566701889,-0.171330405403,1.80411241502e-16,0.00879275929905,0.0050002,0,4.28416997445e-16,8.44152876808e-17,0,0.0492560692641
17.065,0.610000481681,-0.0692041920122,1.42592078466,1.64933614313,-1.20746352377,1.3673667271,-0.40771070867,0.425558781947,0.421903833219,-1.34534237291,1.54150974731,1.35787804564,1.70176145622,-0.517295540592,-0.192363065652,-0.165491335277,3.07589513017e-16,0.00880038041844,0.0050002,0,2.7894008273e-16,5.45310538513e-16,2.22044604925e-16,0.0492532368597
17.07,0.615098616222,-0.0678247131214,1.42955996037,1.64933614313,-1.20451766084,1.37128286034,-0.410449252957,0.428169996644,0.424880386593,-1.34847533802,1.54150949401,1.35865744428,1.70889781753,-0.523214278027,-0.195045418241,-0.159994097504,2.94392336003e-16,0.00880813451887,0.0050002,0,2.49800180541e-16,2.1000903725e-16,0,0.0492529835521
17.075,0.619772575605,-0.0664455714947,1.43325915673,1.64933614313,-1.2018121611,1.3753474227,-0.412774748264,0.430454084336,0.427664309132,-1.35165332833,1.54151176104,1.35935963129,1.71590812428,-0.528727870673,-0.19761770587,-0.154845575246,3.7783535717e-16,0.0088160219578,0.0050002,0,1.2490009027e-16,3.31036876852e-16,0,0.0492552505855
17.08,0.624019749322,-0.0650676709732,1.43701816862,1.64933614313,-1.19934934568,1.37955662023,-0.41468993652,0.43240749738,0.430254120891,-1.35487700239,1.54151648892,1.35998711527,1.72278908489,-0.533833442058,-0.200083636645,-0.150052103787,1.03851854526e-16,0.0088240424543,0.0050002,0,2.76164490472e-16,2.15441202326e-16,0,0.0492599784672
17.085,0.627838087628,-0.0636919115965,1.44083648565,1.64933614313,-1.19713096326,1.38390655005,-0.416198248722,0.43402738798,0.432648371572,-1.35814682289,1.54152361819,1.36054226888,1.72953750095,-0.538528632304,-0.202446656571,-0.145619460887,4.07744898741e-16,0.00883219506781,0.0050002,0,2.95045815911e-16,2.48641008715e-16,0,0.0492671077301
17.09,0.631226103738,-0.0623191889407,1.44471328523,1.64933614313,-1.19515819613,1.38839321131,-0.417303778925,0.435311613137,0.434845650136,-1.36146304859,1.54153309005,1.36102732068,1.73615026463,-0.542811597399,-0.204709928288,-0.141552857688,1.03851854526e-16,0.00884047818054,0.0050002,0,4.55436773889e-16,6.20633538312e-17,0,0.0492765795963
17.095,0.634182875303,-0.060950393462,1.44864742735,1.64933614313,-1.19343166815,1.3930125153,-0.418011255852,0.436258737283,0.436844595966,-1.36482572688,1.541544847,1.36144434815,1.74262435667,-0.546681008309,-0.206876312623,-0.13785693008,2.51720271671e-16,0.00884888948378,0.0050002,0,0,4.27291655346e-16,0,0.0492883365465
17.1,0.636708045161,-0.0595864098445,1.45263745127,1.64933614313,-1.19195145435,1.39776029473,-0.418326012405,0.436868032612,0.438643911426,-1.36823468719,1.54155883325,1.36179527204,1.74895684512,-0.55013605002,-0.208948353035,-0.134535730417,3.03492338602e-16,0.00885742596812,0.0050002,0,2.24202523511e-16,4.70414020423e-16,0,0.0493023227952
17.105,0.63880182136,-0.0582281163528,1.45668157397,1.64933614313,-1.19071709214,1.4026323121,-0.4182539534,0.437139477126,0.440242375599,-1.37168953513,1.54157499513,1.36208185201,1.75514488481,-0.553176420624,-0.210928263031,-0.131592719539,2.93819348847e-16,0.0088660839177,0.0050002,0,6.20633538312e-17,6.75464879787e-16,2.22044604925e-16,0.049318484676
17.11,0.640464976459,-0.0568763841911,1.46077769053,1.64933614313,-1.18972759393,1.40762426709,-0.417801521848,0.437073750418,0.441638858977,-1.37518964744,1.5415932814,1.36230568361,1.76118571754,-0.555802330524,-0.212817916578,-0.129030759017,1.72218817623e-16,0.00887485890855,0.0050002,0,1.15277563369e-16,3.45554129699e-16,0,0.0493367709412
17.115,0.641698846102,-0.0555320768676,1.46492337631,1.64933614313,-1.18898146099,1.41273180304,-0.416975664118,0.436672227248,0.4428323389,-1.3787341678,1.54161364343,1.36246819667,1.76707667301,-0.55801450184,-0.214618841564,-0.126852103616,2.1000903725e-16,0.00888374581091,0.0050002,0,6.49148266448e-16,1.35973995551e-16,0,0.0493571329798
17.12,0.642505326867,-0.0541960495666,1.46911589092,1.64933614313,-1.1884766985,1.41795051237,-0.415783794335,0.435936968949,0.443821915478,-1.38232200348,1.54163603541,1.36257065506,1.77281517054,-0.559814168035,-0.216332216319,-0.125058393942,3.34005227547e-16,0.00889273879574,0.0050002,0,3.74700270811e-16,1.82533799714e-16,0,0.0493795249588
17.125,0.642886873401,-0.0528691485269,1.47335218399,1.64933614313,-1.18821083156,1.42327594105,-0.414233758346,0.434870712747,0.444606827785,-1.38595182286,1.54166041435,1.36261415777,1.77839872144,-0.561203073803,-0.217958869203,-0.123650649309,1.2490009027e-16,0.00890183134517,0.0050002,0,3.52178773379e-16,2.54762318889e-16,0,0.0494039038943
